id,name,linkedin_url,website_url,size_range,funding_stage,industry,summary,industry_detected,target_customer,products_services,tech_stack,scrape_status,research_status,news_status
1872-consulting-ee899c,1872 Consulting,https://www.linkedin.com/sales/company/6643671?_ntb=dnEhDl0rQeCFQ5M3E5kNKQ%3D%3D,,,,IT Services and IT Consulting,,,,,,done,pending,pending
3-bridge-networks-f84565,3 Bridge Networks,https://www.linkedin.com/sales/company/2446198?_ntb=dnEhDl0rQeCFQ5M3E5kNKQ%3D%3D,,,,Staffing and Recruiting,,,,,,done,pending,pending
8bit-games-industry-recruitment-d58686,8Bit - Games Industry Recruitment,https://www.linkedin.com/sales/company/7454790?_ntb=dnEhDl0rQeCFQ5M3E5kNKQ%3D%3D,,,,Computer Games,,,,,,done,pending,pending
aaratech-c9ef7c,AARATECH,https://www.linkedin.com/sales/company/105584369?_ntb=biXGB4J5QKyCLEn3SKE0bg%3D%3D,,,,IT Services and IT Consulting,No website content found,,,,,done,error,pending
ai-prompts-hub-bcd3bd,AI & Prompts Hub,https://www.linkedin.com/sales/company/96892146?_ntb=biXGB4J5QKyCLEn3SKE0bg%3D%3D,,,,"Technology, Information and Media",,,,,,done,pending,pending
ai-discovery-bf9f47,AI Discovery,https://www.linkedin.com/sales/company/105135167?_ntb=biXGB4J5QKyCLEn3SKE0bg%3D%3D,,,,E-Learning Providers,,,,,,done,pending,pending
ai-echo-241b99,AI Echo,https://www.linkedin.com/sales/company/90736172?_ntb=dnEhDl0rQeCFQ5M3E5kNKQ%3D%3D,,,,"Technology, Information and Internet",,,,,,done,pending,pending
ai-artificial-intelligence-b19253,AI: Artificial Intelligence,https://www.linkedin.com/sales/company/86874826?_ntb=dnEhDl0rQeCFQ5M3E5kNKQ%3D%3D,,,,"Technology, Information and Media",,,,,,done,pending,pending
acceler8-talent-5aae76,Acceler8 Talent,https://www.linkedin.com/sales/company/74475378?_ntb=biXGB4J5QKyCLEn3SKE0bg%3D%3D,,,,Staffing and Recruiting,,,,,,done,pending,pending
accelon-consulting-741d99,Accelon Consulting,https://www.linkedin.com/sales/company/3966490?_ntb=biXGB4J5QKyCLEn3SKE0bg%3D%3D,https://www.accelonconsulting.com,,,IT Services and IT Consulting,"Accelon Consulting is a global talent solutions and workforce strategy company that helps businesses scale teams and optimize operations through flexible talent deployment models. They provide end-to-end talent management services including sourcing, vetting, onboarding, payroll, and compliance, with a focus on quickly connecting organizations with skilled professionals across technology, finance, supply chain, and creative services industries.",Professional services / Human resources consulting,"Enterprise organizations and businesses seeking to scale operations, drive digital transformation, or develop specialized capabilities across global markets","• Talent as a Service - Fully managed talent model with sourcing, vetting, onboarding, payroll, and compliance
• Talent on Demand - Flexible talent deployment for specific needs
• Workforce Strategy Solutions - Strategic workforce planning and optimization
• MSP Services - Managed service provider capabilities for workforce management",Not specified,done,done,done
